屯之謙,甘露醴泉，太平機關。仁德感應，歲樂民安。
屯之豫,重茵厚席，循皋採藿。雖躓不懼，反復其宅。
屯之隨,太乙駕騮，從天上來。徵我叔季，封為魯侯。
屯之蠱,南巴六安，石解戟天。所指不已，耋老復丁。弊室舊墟，更為新家。
屯之臨,家給人足，頌聲並作。四夷賓伏，干戈韜閣。
屯之觀,東鄰嫁女，為王妃后。莊公築館，以尊王母。歸于京師，季姜悅喜。
屯之噬嗑,陳妻敬仲，兆興齊姜。營丘是適，八世大昌。
屯之賁,路多枳棘，步刺我足。不利旅客，為心作毒。
屯之剝,天官列宿，五神共舍。宮闕光堅，君安其居。
屯之復,牧羊稻園，聞虎呻喧。懼畏惕息，終無禍患。
屯之無妄,鳴條之圖，北奔犬胡。左衽為長，國號匈奴。主君旄頭，立尊單于。
屯之大畜,剋身潔己，逢禹巡狩。錫我玄珪，拜受福佑。
屯之頤,冬華不實，國多盜賊。疾病難醫，鬼哭其室。
屯之大過,襄送季女，至于蕩道。齊子旦夕，留連久處。
屯之坎,朽根倒樹，花葉落去。卒逢火焱，隨風偃仆。
屯之離,陰變為陽，女化作男。治道得通，君臣相承。
屯之咸,炎絕續光，火滅復明。簡易理得，以成乾功。
屯之恆,多載重負，捐棄于野。予母誰子，但自勞苦。
屯之遯,江河海澤，眾利安宅。可以富有，飲御嘉客。
屯之大壯,冬採薇蘭，地凍堅坼。利走室北，暮無所得。
屯之晉,烏鳴嘻嘻，天火將起。燔我室屋，災及姬后。
屯之明夷,蠆室蜂戶，螫我手足。不可進取，為身害速。
屯之家人,崔嵬北獄，天神貴客。溫仁正直，主布恩德。開衣不已，蒙受大福。
屯之睽,伯蹇叔盲，莫與守床。失我衣裘，伐民除鄉。
屯之蹇,為季求婦，家在東海。水長無船，不見所歡。
屯之解,山陵丘墓，魂魄失舍。精神盡竭，長寢不覺。
屯之損,踦牛失角，下山傷軸。失其利祿。
屯之益,水戴船舟，無根以浮。往往溶溶，心勞且憂。
屯之夬,有鳥來飛，集于古樹。鳴聲可惡，主將出去。
屯之姤,東徙不時，觸患離憂。井泥無濡，思叔舊居。
屯之萃,黃帝所生，伏羲之宇。兵刃不至，利以居止。
屯之升,東山救亂，處婦思夫。勞我君子，役無休已。
屯之困,跛躓未起，先利後市，不得鹿子。
屯之井,大蛇當路，使季畏懼。湯火之災，切近我膚。賴其天幸，趨於王廬。
屯之革,從容長閒，遊戲南山。拜祠禱神，使神無患。
屯之鼎,區脫康居，慕義入朝。湛露之歡，三爵畢恩。復歸野廬，與母相扶。
屯之震,龜鱉列市，河海饒有。長錢善價，商李悅喜。
屯之艮,年常蒙慶，今歲受福。三夫採葩，出必有得。
屯之漸,二人俱東，道路爭訟。意乖不同，使君忷忷。
屯之歸妹,樹我藿豆，鹿兔為食。君不恤護，秋無收入。
屯之豐,黃鳥悲鳴，愁不見星。困於鷙鳥，鸇使我驚。
屯之旅,雙鳧俱飛，欲歸稻食。經涉萑澤，為矢所射，傷我胸臆。
屯之巽,久客無依，思歸我鄉。雷雨盛溢，道未得通。
屯之兌,道路僻除，南至東遼。衛子善辭，使國無憂。
屯之渙,同枕同袍，中年相知。少賈無失，獨居愁思。
屯之節,眾神集眾，相與議語。南國虐亂，百姓愁苦。興師征討，更立賢主。
屯之中孚,北陸閉蟄，隱伏不出。目盲耳聾，道路不通。
屯之小過,痴狂妄作，心誑善惑。迷行失路，不知南北。
屯之既濟,棟隆輔強，寵貴日光。福善並作，樂以高明。
屯之未濟,愛我嬰女，牽衣不與。冀幸高貴，反曰賤下。
